"semaine";"annee";"sexe";"classe_age";"nb_patient"
11;2014;2;"26-50";50822
11;2014;2;"51-75";125164
11;2014;2;">75";90157
11;2014;9;">75";154
12;2014;1;"0-11";177
12;2014;1;"12-18";242
12;2014;1;"19-25";1775
12;2014;1;"26-50";35918
12;2014;1;"51-75";72206
12;2014;1;">75";34192
12;2014;2;"0-11";131
12;2014;2;"12-18";358
12;2014;2;"19-25";2441
12;2014;2;"26-50";50309
12;2014;2;"51-75";120092
12;2014;2;">75";84816
12;2014;9;">75";276
13;2014;1;"0-11";146
13;2014;1;"12-18";254
13;2014;1;"19-25";1727
13;2014;1;"26-50";36564
13;2014;1;"51-75";73053
13;2014;1;">75";34067
13;2014;2;"0-11";134
13;2014;2;"12-18";381
13;2014;2;"19-25";2588
13;2014;2;"26-50";51107
13;2014;2;"51-75";120679
13;2014;2;">75";83278
13;2014;9;">75";99
14;2014;1;"0-11";142
14;2014;1;"12-18";265
14;2014;1;"19-25";1848
14;2014;1;"26-50";36782
14;2014;1;"51-75";76912
14;2014;1;">75";35879
14;2014;2;"0-11";121
14;2014;2;"12-18";369
14;2014;2;"19-25";2654
14;2014;2;"26-50";52099
14;2014;2;"51-75";126593
14;2014;2;">75";89133
14;2014;9;">75";48
15;2014;1;"0-11";124
15;2014;1;"12-18";237
15;2014;1;"19-25";1727
15;2014;1;"26-50";36329
15;2014;1;"51-75";75093
15;2014;1;">75";35709
15;2014;2;"0-11";120
15;2014;2;"12-18";351
15;2014;2;"19-25";2467
15;2014;2;"26-50";51222
15;2014;2;"51-75";126600
15;2014;2;">75";90336
15;2014;9;">75";90
16;2014;1;"0-11";57
16;2014;1;"12-18";181
16;2014;1;"19-25";1425
16;2014;1;"26-50";30731
16;2014;1;"51-75";62692
16;2014;1;">75";29363
16;2014;2;"0-11";59
16;2014;2;"12-18";250
16;2014;2;"19-25";2091
16;2014;2;"26-50";41936
16;2014;2;"51-75";102528
16;2014;2;">75";72798
16;2014;9;">75";209
17;2014;1;"0-11";22
17;2014;1;"12-18";181
17;2014;1;"19-25";1772
17;2014;1;"26-50";37707
17;2014;1;"51-75";79173
17;2014;1;">75";37447
17;2014;2;"0-11";30
17;2014;2;"12-18";270
17;2014;2;"19-25";2482
17;2014;2;"26-50";52238
